,PassengerId,Pclass,Sex,SibSp,Ticket,Cabin
0,1,3,male,1,A/5 21171,
1,2,1,female,1,PC 17599,C85
2,3,3,female,0,STON/O2. 3101282,
3,4,1,female,1,113803,C123
4,5,3,male,0,373450,
5,6,3,male,0,330877,
6,7,1,male,0,17463,E46
7,8,3,male,3,349909,
8,9,3,female,0,347742,
9,10,2,female,1,237736,
10,11,3,female,1,PP 9549,G6
11,12,1,female,0,113783,C103
12,13,3,male,0,A/5. 2151,
13,14,3,male,1,347082,
14,15,3,female,0,350406,
15,16,2,female,0,248706,
16,17,3,male,4,382652,
17,18,2,male,0,244373,
18,19,3,female,1,345763,
19,20,3,female,0,2649,
20,21,2,male,0,239865,
21,22,2,male,0,248698,D56
22,23,3,female,0,330923,
23,24,1,male,0,113788,A6
24,25,3,female,3,349909,
25,26,3,female,1,347077,
26,27,3,male,0,2631,
27,28,1,male,3,19950,C23 C25 C27
28,29,3,female,0,330959,
29,30,3,male,0,349216,
30,31,1,male,0,PC 17601,
31,32,1,female,1,PC 17569,B78
32,33,3,female,0,335677,
33,34,2,male,0,C.A. 24579,
34,35,1,male,1,PC 17604,
35,36,1,male,1,113789,
36,37,3,male,0,2677,
37,38,3,male,0,A./5. 2152,
38,39,3,female,2,345764,
39,40,3,female,1,2651,
40,41,3,female,1,7546,
41,42,2,female,1,11668,
42,43,3,male,0,349253,
43,44,2,female,1,SC/Paris 2123,
44,45,3,female,0,330958,
45,46,3,male,0,S.C./A.4. 23567,
46,47,3,male,1,370371,
47,48,3,female,0,14311,
48,49,3,male,2,2662,
49,50,3,female,1,349237,
50,51,3,male,4,3101295,
51,52,3,male,0,A/4. 39886,
52,53,1,female,1,PC 17572,D33
53,54,2,female,1,2926,
54,55,1,male,0,113509,B30
55,56,1,male,0,19947,C52
56,57,2,female,0,C.A. 31026,
57,58,3,male,0,2697,
58,59,2,female,1,C.A. 34651,
59,60,3,male,5,CA 2144,
60,61,3,male,0,2669,
61,62,1,female,0,113572,B28
62,63,1,male,1,36973,C83
63,64,3,male,3,347088,
64,65,1,male,0,PC 17605,
65,66,3,male,1,2661,
66,67,2,female,0,C.A. 29395,F33
67,68,3,male,0,S.P. 3464,
68,69,3,female,4,3101281,
69,70,3,male,2,315151,
70,71,2,male,0,C.A. 33111,
71,72,3,female,5,CA 2144,
72,73,2,male,0,S.O.C. 14879,
73,74,3,male,1,2680,
74,75,3,male,0,1601,
75,76,3,male,0,348123,F G73
76,77,3,male,0,349208,
77,78,3,male,0,374746,
78,79,2,male,0,248738,
79,80,3,female,0,364516,
80,81,3,male,0,345767,
81,82,3,male,0,345779,
82,83,3,female,0,330932,
83,84,1,male,0,113059,
84,85,2,female,0,SO/C 14885,
85,86,3,female,3,3101278,
86,87,3,male,1,W./C. 6608,
87,88,3,male,0,SOTON/OQ 392086,
88,89,1,female,3,19950,C23 C25 C27
89,90,3,male,0,343275,
90,91,3,male,0,343276,
91,92,3,male,0,347466,
92,93,1,male,1,W.E.P. 5734,E31
93,94,3,male,1,C.A. 2315,
94,95,3,male,0,364500,
95,96,3,male,0,374910,
96,97,1,male,0,PC 17754,A5
97,98,1,male,0,PC 17759,D10 D12
98,99,2,female,0,231919,
99,100,2,male,1,244367,
100,101,3,female,0,349245,
101,102,3,male,0,349215,
102,103,1,male,0,35281,D26
103,104,3,male,0,7540,
104,105,3,male,2,3101276,
105,106,3,male,0,349207,
106,107,3,female,0,343120,
